question,correct,incorrect
"What is the sentiment of the following sentence? This is a finely written, superbly acted offbeat thriller.",positive,negative
"What is the sentiment of the following sentence? There are no special effects, and no Hollywood endings.",positive,negative
What is the sentiment of the following sentence? A three-hour cinema master class.,positive,negative
What is the sentiment of the following sentence? Truly terrible.,negative,positive
What is the sentiment of the following sentence? Suffers from all the excesses of the genre.,negative,positive
What is the sentiment of the following sentence? There's lots of cool stuff packed into ESPN's Ultimate X.,positive,negative
What is the sentiment of the following sentence? Lurid and less than lucid work.,negative,positive
What is the sentiment of the following sentence? We've liked Klein's other work but Rollerball left us cold.,negative,positive
"What is the sentiment of the following sentence? Witless, pointless, tasteless and idiotic.",negative,positive
What is the sentiment of the following sentence? Manages to be both hugely entertaining and uplifting.,positive,negative
What is the sentiment of the following sentence? Old-fashioned but thoroughly satisfying entertainment.,positive,negative
What is the sentiment of the following sentence? Certainly the performances are worthwhile.,positive,negative
What is the sentiment of the following sentence? Too bland and fustily tasteful to be truly prurient.,negative,positive
What is the sentiment of the following sentence? Impostor is a step down for director Gary Fleder.,negative,positive
"What is the sentiment of the following sentence? Constantly touching, surprisingly funny, semi-surrealist exploration of the creative act.",positive,negative
What is the sentiment of the following sentence? A riveting documentary.,positive,negative
"What is the sentiment of the following sentence? An uplifting, near-masterpiece.",positive,negative
"What is the sentiment of the following sentence? An odd, haphazard, and inconsequential romantic comedy.",negative,positive
What is the sentiment of the following sentence? I haven't seen such self-amused trash since Freddy Got Fingered.,negative,positive
What is the sentiment of the following sentence? It never rises to its clever what-if concept.,negative,positive
What is the sentiment of the following sentence? Enriched by a strong and unforced supporting cast.,positive,negative
What is the sentiment of the following sentence? A rather tired exercise in nostalgia.,negative,positive
What is the sentiment of the following sentence? Refreshing.,positive,negative
What is the sentiment of the following sentence? Nothing short of a masterpiece -- and a challenging one.,positive,negative
"What is the sentiment of the following sentence? A loud, brash and mainly unfunny high school comedy.",negative,positive
What is the sentiment of the following sentence? The story ultimately takes hold and grips hard.,positive,negative
"What is the sentiment of the following sentence? At times, it actually hurts to watch.",negative,positive
What is the sentiment of the following sentence? Aan opportunity wasted.,negative,positive
What is the sentiment of the following sentence? An awkwardly contrived exercise in magic realism.,negative,positive
What is the sentiment of the following sentence? Perhaps the best sports movie I've ever seen.,positive,negative
What is the sentiment of the following sentence? I'd rather watch a rerun of The Powerpuff Girls,negative,positive
"What is the sentiment of the following sentence? A wild, endearing, masterful documentary.",positive,negative
"What is the sentiment of the following sentence? A horrible, 99-minute stink bomb.",negative,positive
"What is the sentiment of the following sentence? ...a movie that, quite simply, shouldn't have been made.",negative,positive
What is the sentiment of the following sentence? One of the worst films of 2002.,negative,positive
What is the sentiment of the following sentence? Long on twinkly-eyed close-ups and short on shame.,negative,positive
What is the sentiment of the following sentence? Thoroughly awful.,negative,positive
"What is the sentiment of the following sentence? An ugly, pointless, stupid movie.",negative,positive
What is the sentiment of the following sentence? Norton is magnetic as Graham.,positive,negative
What is the sentiment of the following sentence? A rehash of every gangster movie from the past decade.,negative,positive
What is the sentiment of the following sentence? It's all surface psychodramatics.,negative,positive
"What is the sentiment of the following sentence? Despite all the closed-door hanky-panky, the film is essentially juiceless.",negative,positive
What is the sentiment of the following sentence? A backstage must-see for true fans of comedy.,positive,negative
What is the sentiment of the following sentence? TV skit-com material fervently deposited on the big screen.,negative,positive
What is the sentiment of the following sentence? Idiotic and ugly.,negative,positive
What is the sentiment of the following sentence? Ear-splitting exercise in formula crash-and-bash action.,negative,positive
"What is the sentiment of the following sentence? A pale Xerox of other, better crime movies.",negative,positive
What is the sentiment of the following sentence? The movie is as padded as Allen's jelly belly.,negative,positive
What is the sentiment of the following sentence? Doesn't really add up to much.,negative,positive
"What is the sentiment of the following sentence? Wow, so who knew Charles Dickens could be so light-hearted?",positive,negative
"What is the sentiment of the following sentence? It's mildly amusing, but I certainly can't recommend it.",negative,positive
"What is the sentiment of the following sentence? A witty, low-key romantic comedy.",positive,negative
What is the sentiment of the following sentence? Rubbo's humorously tendentious intervention into the who-wrote-Shakespeare controversy.,positive,negative
What is the sentiment of the following sentence? It's one long bore.,negative,positive
What is the sentiment of the following sentence? A small movie with a big impact.,positive,negative
What is the sentiment of the following sentence? Incoherence reigns.,negative,positive
"What is the sentiment of the following sentence? What I saw, I enjoyed.",positive,negative
"What is the sentiment of the following sentence? An amateurish, quasi-improvised acting exercise shot on ugly digital video.",negative,positive
What is the sentiment of the following sentence? A dreary movie.,negative,positive
What is the sentiment of the following sentence? Too slick and manufactured to claim street credibility.,negative,positive
What is the sentiment of the following sentence? Consummate actor Barry has done excellent work here.,positive,negative
What is the sentiment of the following sentence? An elegant and sly deadpan comedy.,positive,negative
What is the sentiment of the following sentence? An enjoyable above average summer diversion.,positive,negative
What is the sentiment of the following sentence? ... manages to deliver a fair bit of vampire fun.,positive,negative
"What is the sentiment of the following sentence? A wry, affectionate delight.",positive,negative
What is the sentiment of the following sentence? The problem with all of this: It's not really funny.,negative,positive
What is the sentiment of the following sentence? The best film of the year 2002.,positive,negative
What is the sentiment of the following sentence? The bottom line is the piece works brilliantly.,positive,negative
"What is the sentiment of the following sentence? Charming and witty, it's also somewhat clumsy.",positive,negative
What is the sentiment of the following sentence? Pleasant but not more than recycled jock piffle.,negative,positive
What is the sentiment of the following sentence? A triumph of pure craft and passionate heart.,positive,negative
"What is the sentiment of the following sentence? A bright, inventive, thoroughly winning flight of revisionist fancy.",positive,negative
What is the sentiment of the following sentence? Thoroughly enjoyable.,positive,negative
"What is the sentiment of the following sentence? This quiet, introspective and entertaining independent is worth seeking.",positive,negative
"What is the sentiment of the following sentence? The script is high on squaddie banter, low on shocks.",positive,negative
What is the sentiment of the following sentence? Wishy-washy.,negative,positive
"What is the sentiment of the following sentence? Simplistic, silly and tedious.",negative,positive
What is the sentiment of the following sentence? If only Merchant paid more attention the story.,negative,positive
What is the sentiment of the following sentence? Feral and uncomfortable.,negative,positive
What is the sentiment of the following sentence? Caviezel embodies the transformation of his character completely.,positive,negative
"What is the sentiment of the following sentence? Tense, terrific, sweaty-palmed fun.",positive,negative
What is the sentiment of the following sentence? A fun ride.,positive,negative
What is the sentiment of the following sentence? Many insightful moments.,positive,negative
"What is the sentiment of the following sentence? ... very funny, very enjoyable ...",positive,negative
What is the sentiment of the following sentence? By-the-numbers yarn.,negative,positive
What is the sentiment of the following sentence? Everything is off.,negative,positive
What is the sentiment of the following sentence? A gripping drama.,positive,negative
What is the sentiment of the following sentence? A prolonged extrusion of psychopathic pulp.,negative,positive
"What is the sentiment of the following sentence? Sensual, funny and, in the end, very touching.",positive,negative
What is the sentiment of the following sentence? It's not original enough.,negative,positive
"What is the sentiment of the following sentence? What a dumb, fun, curiously adolescent movie this is.",positive,negative
"What is the sentiment of the following sentence? Woody, what happened?",negative,positive
"What is the sentiment of the following sentence? A witty, whimsical feature debut.",positive,negative
What is the sentiment of the following sentence? A bodice-ripper for intellectuals.,positive,negative
What is the sentiment of the following sentence? A genuine mind-bender.,positive,negative
"What is the sentiment of the following sentence? Narratively, Trouble Every Day is a plodding mess.",negative,positive
What is the sentiment of the following sentence? A captivating and intimate study about dying and loving...,positive,negative
What is the sentiment of the following sentence? There's no reason to miss Interview with the Assassin,positive,negative
What is the sentiment of the following sentence? The whole talking-animal thing is grisly.,negative,positive
"What is the sentiment of the following sentence? Twohy's a good yarn-spinner, and ultimately the story compels.",positive,negative
What is the sentiment of the following sentence? The Hanukkah spirit seems fried in pork.,negative,positive
What is the sentiment of the following sentence? Sexy and romantic.,positive,negative
"What is the sentiment of the following sentence? An exceptionally acted, quietly affecting cop drama.",positive,negative
"What is the sentiment of the following sentence? A smart, sassy and exceptionally charming romantic comedy.",positive,negative
What is the sentiment of the following sentence? A thought-provoking and often-funny drama about isolation.,positive,negative
What is the sentiment of the following sentence? Pray has really done his subject justice.,positive,negative
What is the sentiment of the following sentence? A tasty appetizer that leaves you wanting more.,positive,negative
"What is the sentiment of the following sentence? It's weird, wonderful, and not necessarily for kids.",positive,negative
What is the sentiment of the following sentence? Highly watchable stuff.,positive,negative
What is the sentiment of the following sentence? Piccoli gives a superb performance full of deep feeling.,positive,negative
What is the sentiment of the following sentence? Predictably soulless techno-tripe.,negative,positive
What is the sentiment of the following sentence? Uneven but a lot of fun.,positive,negative
What is the sentiment of the following sentence? Another boorish movie from the I-heard-a-joke- at-a-frat-party school of screenwriting.,negative,positive
What is the sentiment of the following sentence? classic cinema served up with heart and humor,positive,negative
What is the sentiment of the following sentence? Deliciously slow.,positive,negative
"What is the sentiment of the following sentence? The film is small in scope, yet perfectly formed.",positive,negative
What is the sentiment of the following sentence? Jackson is always watchable.,positive,negative
What is the sentiment of the following sentence? One of the most slyly exquisite anti-adult movies ever made.,positive,negative
"What is the sentiment of the following sentence? Bluto Blutarsky, we miss you.",positive,negative
What is the sentiment of the following sentence? The all-French cast is marveilleux.,positive,negative
What is the sentiment of the following sentence? Degenerates into hogwash.,negative,positive
What is the sentiment of the following sentence? A retread of material already thoroughly plumbed by Martin Scorsese.,negative,positive
"What is the sentiment of the following sentence? A finely tuned mood piece, a model of menacing atmosphere.",positive,negative
What is the sentiment of the following sentence? His work transcends the boy-meets-girl posturing of typical love stories.,positive,negative
What is the sentiment of the following sentence? Technically and artistically inept.,negative,positive
What is the sentiment of the following sentence? ...the plot weaves us into a complex web.,positive,negative
What is the sentiment of the following sentence? Marvelously entertaining and deliriously joyous documentary.,positive,negative
What is the sentiment of the following sentence? Low rent from frame one.,negative,positive
What is the sentiment of the following sentence? plays like some corny television production from a bygone era,negative,positive
What is the sentiment of the following sentence? A little weak -- and it isn't that funny.,negative,positive
What is the sentiment of the following sentence? A noble failure.,negative,positive
What is the sentiment of the following sentence? There's not a comedic moment in this romantic comedy.,negative,positive
"What is the sentiment of the following sentence? A big, loud, bang-the-drum bore.",negative,positive
What is the sentiment of the following sentence? Good-naturedly cornball sequel.,positive,negative
What is the sentiment of the following sentence? The closest thing to the experience of space travel,positive,negative
What is the sentiment of the following sentence? A tone poem of transgression.,positive,negative
What is the sentiment of the following sentence? Execrable.,negative,positive
"What is the sentiment of the following sentence? an admirable, sometimes exceptional film",positive,negative
What is the sentiment of the following sentence? A derivative collection of horror and sci-fi cliches.,negative,positive
"What is the sentiment of the following sentence? A particularly joyless, and exceedingly dull, period coming-of-age tale.",negative,positive
What is the sentiment of the following sentence? One of the best movies of the year.,positive,negative
What is the sentiment of the following sentence? One of the best inside-show-biz yarns ever.,positive,negative
"What is the sentiment of the following sentence? A timid, soggy near miss.",negative,positive
What is the sentiment of the following sentence? The movie is so thoughtlessly assembled.,positive,negative
What is the sentiment of the following sentence? Lacks depth.,negative,positive
"What is the sentiment of the following sentence? A sensitive, moving, brilliantly constructed work.",positive,negative
What is the sentiment of the following sentence? ...hypnotically dull.,negative,positive
What is the sentiment of the following sentence? Brisk hack job.,negative,positive
What is the sentiment of the following sentence? It trusts the story it sets out to tell.,positive,negative
What is the sentiment of the following sentence? ...could easily be called the best Korean film of 2002.,positive,negative
What is the sentiment of the following sentence? A humorless journey into a philosophical void.,negative,positive
What is the sentiment of the following sentence? Family fare.,positive,negative
What is the sentiment of the following sentence? A gem of a movie.,positive,negative
What is the sentiment of the following sentence? A complete waste of time.,negative,positive
What is the sentiment of the following sentence? Friday After Next is a lot more bluster than bite.,negative,positive
What is the sentiment of the following sentence? Lightweight but appealing.,positive,negative
What is the sentiment of the following sentence? These characters become wearisome.,negative,positive
"What is the sentiment of the following sentence? Cold, pretentious, thoroughly dislikable study in sociopathy.",negative,positive
What is the sentiment of the following sentence? A characteristically engorged and sloppy coming-of-age movie.,negative,positive
What is the sentiment of the following sentence? A beautiful paean to a time long past.,positive,negative
What is the sentiment of the following sentence? A beautifully observed character piece.,positive,negative
What is the sentiment of the following sentence? A movie of riveting power and sadness.,positive,negative
What is the sentiment of the following sentence? Gives everyone something to shout about.,positive,negative
What is the sentiment of the following sentence? A minor-league soccer remake of The Longest Yard.,negative,positive
"What is the sentiment of the following sentence? As a science fiction movie, ``Minority Report'' astounds.",positive,negative
What is the sentiment of the following sentence? Really quite funny.,positive,negative
What is the sentiment of the following sentence? Parents beware; this is downright movie penance.,negative,positive
"What is the sentiment of the following sentence? An enjoyable, if occasionally flawed, experiment.",positive,negative
"What is the sentiment of the following sentence? Fierce, glaring and unforgettable.",positive,negative
What is the sentiment of the following sentence? There's nothing interesting in Unfaithful whatsoever.,negative,positive
"What is the sentiment of the following sentence? It is bad, but certainly not without merit as entertainment.",negative,positive
What is the sentiment of the following sentence? An exhilarating experience.,positive,negative
What is the sentiment of the following sentence? An average B-movie with no aspirations to be anything more.,negative,positive
What is the sentiment of the following sentence? The story is bogus and its characters tissue-thin.,negative,positive
What is the sentiment of the following sentence? By turns numbingly dull-witted and disquietingly creepy.,negative,positive
What is the sentiment of the following sentence? The movie doesn't add anything fresh to the myth.,negative,positive
What is the sentiment of the following sentence? A lovely film for the holiday season.,positive,negative
What is the sentiment of the following sentence? Parris' performance is credible and remarkably mature.,positive,negative
What is the sentiment of the following sentence? Rarely has sex on screen been so aggressively anti-erotic.,negative,positive
What is the sentiment of the following sentence? Just too silly and sophomoric to ensnare its target audience.,negative,positive
"What is the sentiment of the following sentence? Cold, nervy and memorable.",positive,negative
What is the sentiment of the following sentence? An unsuccessful attempt at a movie of ideas.,negative,positive
"What is the sentiment of the following sentence? Boy, has this franchise ever run out of gas.",negative,positive
What is the sentiment of the following sentence? Every note rings false.,negative,positive
What is the sentiment of the following sentence? Generates an enormous feeling of empathy for its characters.,positive,negative
What is the sentiment of the following sentence? Jones has delivered a solidly entertaining and moving family drama.,positive,negative
What is the sentiment of the following sentence? It's a road-trip drama with too many wrong turns.,negative,positive
What is the sentiment of the following sentence? Like the chilled breath of oral storytelling frozen onto film.,positive,negative
What is the sentiment of the following sentence? Spare but quietly effective retelling.,positive,negative
What is the sentiment of the following sentence? It drowns in sap.,negative,positive
"What is the sentiment of the following sentence? Certainly not a good movie, but it wasn't horrible either.",negative,positive
What is the sentiment of the following sentence? an original and highly cerebral examination of the psychopathic mind,positive,negative
What is the sentiment of the following sentence? It's quite diverting nonsense.,negative,positive
What is the sentiment of the following sentence? Pompous and garbled.,negative,positive
What is the sentiment of the following sentence? An extraordinary dramatic experience.,positive,negative
"What is the sentiment of the following sentence? Slap me, I saw this movie.",negative,positive
What is the sentiment of the following sentence? A moving and important film.,positive,negative
What is the sentiment of the following sentence? A terrible movie that some people will nevertheless find moving.,negative,positive
"What is the sentiment of the following sentence? Bill Morrison's Decasia is uncompromising, difficult and unbearably beautiful.",positive,negative
"What is the sentiment of the following sentence? A smart, arch and rather cold-blooded comedy.",positive,negative
"What is the sentiment of the following sentence? As it turns out, you can go home again.",positive,negative
What is the sentiment of the following sentence? An edgy thriller that delivers a surprising punch.,positive,negative
What is the sentiment of the following sentence? It's unlikely we'll see a better thriller this year.,positive,negative
"What is the sentiment of the following sentence? The performances are immaculate, with Roussillon providing comic relief.",positive,negative
What is the sentiment of the following sentence? An impressive hybrid.,positive,negative
"What is the sentiment of the following sentence? Like its bizarre heroine, it irrigates our souls.",positive,negative
"What is the sentiment of the following sentence? It's leaden and predictable, and laughs are lacking.",negative,positive
What is the sentiment of the following sentence? An undistinguished attempt to make a classic theater piece cinematic.,negative,positive
What is the sentiment of the following sentence? ...a bland murder-on-campus yawner.,negative,positive
What is the sentiment of the following sentence? Smart and taut.,positive,negative
What is the sentiment of the following sentence? Noyce has worked wonders with the material.,positive,negative
What is the sentiment of the following sentence? ...really horrible drek.,negative,positive
What is the sentiment of the following sentence? Fairly run-of-the-mill.,negative,positive
"What is the sentiment of the following sentence? The movie is well done, but slow.",negative,positive
"What is the sentiment of the following sentence? ...no charm, no laughs, no fun, no reason to watch.",negative,positive
"What is the sentiment of the following sentence? By turns fanciful, grisly and engagingly quixotic.",positive,negative
What is the sentiment of the following sentence? A great companion piece to other Napoleon films.,positive,negative
What is the sentiment of the following sentence? Too infuriatingly quirky and taken with its own style.,negative,positive
What is the sentiment of the following sentence? Nearly every attempt at humor here is DOA.,negative,positive
What is the sentiment of the following sentence? ``The best Disney movie since the Lion King'',positive,negative
What is the sentiment of the following sentence? Chaiken ably balances real-time rhythms with propulsive incident.,positive,negative
"What is the sentiment of the following sentence? A terrific date movie, whatever your orientation.",positive,negative
What is the sentiment of the following sentence? As lively an account as Seinfeld is deadpan.,negative,positive
What is the sentiment of the following sentence? A wild ride of a movie that keeps throwing fastballs.,positive,negative
What is the sentiment of the following sentence? By turns very dark and very funny.,positive,negative
"What is the sentiment of the following sentence? It's tough to watch, but it's a fantastic movie.",positive,negative
"What is the sentiment of the following sentence? You're not merely watching history, you're engulfed by it.",positive,negative
What is the sentiment of the following sentence? Peppered with witty dialogue and inventive moments.,positive,negative
What is the sentiment of the following sentence? The most ingenious film comedy since Being John Malkovich.,positive,negative
What is the sentiment of the following sentence? Kapur weighs down the tale with bogus profundities.,negative,positive
What is the sentiment of the following sentence? None of Birthday Girl's calculated events take us by surprise...,negative,positive
What is the sentiment of the following sentence? It's like an all-star salute to Disney's cheesy commercialism.,negative,positive
What is the sentiment of the following sentence? Speaks eloquently about the symbiotic relationship between art and life.,positive,negative
What is the sentiment of the following sentence? There's more repetition than creativity throughout the movie.,negative,positive
What is the sentiment of the following sentence? A terrific insider look at the star-making machinery of tinseltown.,positive,negative
What is the sentiment of the following sentence? A funny film.,positive,negative
What is the sentiment of the following sentence? A certain sexiness underlines even the dullest tangents.,positive,negative
"What is the sentiment of the following sentence? A thoroughly engaging, surprisingly touching British comedy.",positive,negative
What is the sentiment of the following sentence? One-of-a-kind near-masterpiece.,positive,negative
What is the sentiment of the following sentence? Slight but enjoyable documentary.,positive,negative
What is the sentiment of the following sentence? A film without surprise geared toward maximum comfort and familiarity.,negative,positive
What is the sentiment of the following sentence? Too clever by about nine-tenths.,positive,negative
What is the sentiment of the following sentence? A French film with a more down-home flavor.,positive,negative
"What is the sentiment of the following sentence? Poetic, heartbreaking.",positive,negative
What is the sentiment of the following sentence? Worthy of the gong.,negative,positive
What is the sentiment of the following sentence? This 10th film in the series looks and feels tired.,negative,positive
What is the sentiment of the following sentence? Unwieldy contraption.,negative,positive
What is the sentiment of the following sentence? more precious than perspicacious,positive,negative
"What is the sentiment of the following sentence? ...bright, intelligent, and humanly funny film.",positive,negative
What is the sentiment of the following sentence? The feature-length stretch ... strains the show's concept.,negative,positive
"What is the sentiment of the following sentence? Quite simply, a joy to watch and--especially--to listen to.",positive,negative
"What is the sentiment of the following sentence? It's sweet, funny, charming, and completely delightful.",positive,negative
What is the sentiment of the following sentence? One of the greatest films I've ever seen.,positive,negative
What is the sentiment of the following sentence? I loved the look of this film.,positive,negative
"What is the sentiment of the following sentence? Blessed with two fine, nuanced lead performances.",positive,negative
What is the sentiment of the following sentence? A remarkable film by Bernard Rose.,positive,negative
What is the sentiment of the following sentence? A feeble Tootsie knockoff.,negative,positive
What is the sentiment of the following sentence? The entire cast is extraordinarily good.,positive,negative
What is the sentiment of the following sentence? The formula is familiar but enjoyable.,positive,negative
What is the sentiment of the following sentence? ...unbearably lame.,negative,positive
"What is the sentiment of the following sentence? Been there, done that... a thousand times already, and better.",negative,positive
"What is the sentiment of the following sentence? A quaint, romanticized rendering.",positive,negative
What is the sentiment of the following sentence? A generic international version of a typical American horror film.,negative,positive
What is the sentiment of the following sentence? Handsome and sophisticated approach to the workplace romantic comedy.,positive,negative
What is the sentiment of the following sentence? ...one of the most entertaining monster movies in ages...,positive,negative
What is the sentiment of the following sentence? An almost unbearably morbid love story.,negative,positive
"What is the sentiment of the following sentence? All in all, a great party.",positive,negative
What is the sentiment of the following sentence? ...stale and uninspired.,negative,positive
What is the sentiment of the following sentence? Significantly better than its 2002 children's-movie competition.,positive,negative
What is the sentiment of the following sentence? under-rehearsed and lifeless,negative,positive
What is the sentiment of the following sentence? Even the digressions are funny.,positive,negative
"What is the sentiment of the following sentence? Stale, futile scenario.",negative,positive
What is the sentiment of the following sentence? Far more enjoyable than its predecessor.,positive,negative
What is the sentiment of the following sentence? Visually striking and viscerally repellent.,positive,negative
What is the sentiment of the following sentence? A lame comedy.,negative,positive
What is the sentiment of the following sentence? Its engaging simplicity is driven by appealing leads.,positive,negative
"What is the sentiment of the following sentence? A pleasing, often-funny comedy.",positive,negative
What is the sentiment of the following sentence? Lame Sweet Home leaves no Southern stereotype unturned.,negative,positive
"What is the sentiment of the following sentence? Sweetly sexy, funny and touching.",positive,negative
"What is the sentiment of the following sentence? Go, girls, right down the reality drain.",negative,positive
What is the sentiment of the following sentence? Just a Kiss is a just a waste.,negative,positive
What is the sentiment of the following sentence? An imponderably stilted and self-consciously arty movie.,negative,positive
What is the sentiment of the following sentence? ... better described as a ghost story gone badly awry.,negative,positive
"What is the sentiment of the following sentence? A vibrant, colorful, semimusical rendition.",positive,negative
What is the sentiment of the following sentence? This is Christmas Future for a lot of baby boomers.,positive,negative
"What is the sentiment of the following sentence? Deflated ending aside, there's much to recommend the film.",positive,negative
What is the sentiment of the following sentence? A riveting story well told.,positive,negative
"What is the sentiment of the following sentence? Journalistically dubious, inept and often lethally dull.",negative,positive
What is the sentiment of the following sentence? A solidly entertaining little film.,positive,negative
What is the sentiment of the following sentence? To Blandly Go Where We Went 8 Movies Ago ...,negative,positive
What is the sentiment of the following sentence? The plot's contrivances are uncomfortably strained.,negative,positive
What is the sentiment of the following sentence? Even better than the first one!,positive,negative
What is the sentiment of the following sentence? Eerily accurate depiction of depression.,negative,positive
"What is the sentiment of the following sentence? It's a wonderful, sobering, heart-felt drama.",positive,negative
"What is the sentiment of the following sentence? Gangster No. 1 is solid, satisfying fare for adults.",positive,negative
What is the sentiment of the following sentence? A loquacious and dreary piece of business.,negative,positive
What is the sentiment of the following sentence? Doesn't add up to much.,negative,positive
What is the sentiment of the following sentence? Chalk it up as the worst kind of hubristic folly.,negative,positive
"What is the sentiment of the following sentence? Too much of Nemesis has a tired, talky feel.",negative,positive
What is the sentiment of the following sentence? It's just rather leaden and dull.,negative,positive
What is the sentiment of the following sentence? Has the capability of effecting change and inspiring hope.,positive,negative
What is the sentiment of the following sentence? Top-notch action powers this romantic drama.,positive,negative
What is the sentiment of the following sentence? A portrait of hell so shattering it's impossible to shake.,positive,negative
"What is the sentiment of the following sentence? Assayas' ambitious, sometimes beautiful adaptation of Jacques Chardonne's novel.",positive,negative
What is the sentiment of the following sentence? Shrewd but pointless.,negative,positive
What is the sentiment of the following sentence? A chiller resolutely without chills.,negative,positive
What is the sentiment of the following sentence? Exhilarating but blatantly biased.,positive,negative
What is the sentiment of the following sentence? Psychologically revealing.,positive,negative
What is the sentiment of the following sentence? Tsai convincingly paints a specifically urban sense of disassociation here.,positive,negative
What is the sentiment of the following sentence? We want the funk - and this movie's got it.,positive,negative
What is the sentiment of the following sentence? Allen's underestimated charm delivers more goodies than lumps of coal.,positive,negative
What is the sentiment of the following sentence? It's depressing to see how far Herzog has fallen.,negative,positive
What is the sentiment of the following sentence? More a gunfest than a Rock concert.,negative,positive
What is the sentiment of the following sentence? Bland but harmless.,negative,positive
What is the sentiment of the following sentence? Phoned-in business as usual.,negative,positive
What is the sentiment of the following sentence? A low-rent retread of the Alien pictures.,negative,positive
What is the sentiment of the following sentence? Maryam is more timely now than ever.,positive,negative
"What is the sentiment of the following sentence? The script is smart, not cloying.",positive,negative
What is the sentiment of the following sentence? It's never dull and always looks good.,positive,negative
What is the sentiment of the following sentence? A gentle and engrossing character study.,positive,negative
What is the sentiment of the following sentence? A sentimental but entirely irresistible portrait of three aging sisters.,positive,negative
What is the sentiment of the following sentence? A yawn-provoking little farm melodrama.,negative,positive
What is the sentiment of the following sentence? Feels like a cold old man going through the motions.,negative,positive
"What is the sentiment of the following sentence? I found it slow, predictable and not very amusing.",negative,positive
What is the sentiment of the following sentence? Kudos to the most enchanting film of the year.,positive,negative
What is the sentiment of the following sentence? You will likely prefer to keep on watching.,positive,negative
What is the sentiment of the following sentence? Overly long and worshipful bio-doc.,negative,positive
What is the sentiment of the following sentence? Narc is all menace and atmosphere.,negative,positive
What is the sentiment of the following sentence? Insufferably naive.,negative,positive
What is the sentiment of the following sentence? Its initial excitement settles into a warmed over pastiche.,negative,positive
What is the sentiment of the following sentence? Hardly a film that comes along every day.,positive,negative
"What is the sentiment of the following sentence? Third time's the charm...yeah, baby!",positive,negative
What is the sentiment of the following sentence? Bad and baffling from the get-go.,negative,positive
"What is the sentiment of the following sentence? It's funny, touching, dramatically forceful, and beautifully shot.",positive,negative
What is the sentiment of the following sentence? Leaks treacle from every pore.,negative,positive
What is the sentiment of the following sentence? The film has several strong performances.,positive,negative
"What is the sentiment of the following sentence? Good, solid storytelling.",positive,negative
"What is the sentiment of the following sentence? If you've the patience, there are great rewards here.",positive,negative
What is the sentiment of the following sentence? A major waste...generic.,negative,positive
What is the sentiment of the following sentence? A bad movie that happened to good actors.,negative,positive
"What is the sentiment of the following sentence? Intensely romantic, thought-provoking and even an engaging mystery.",positive,negative
What is the sentiment of the following sentence? A half-assed film.,negative,positive
"What is the sentiment of the following sentence? An authentically vague, but ultimately purposeless, study in total pandemonium.",negative,positive
What is the sentiment of the following sentence? Bielinsky is a filmmaker of impressive talent.,positive,negative
What is the sentiment of the following sentence? Takashi Miike keeps pushing the envelope: Ichi the Killer,positive,negative
"What is the sentiment of the following sentence? A brisk, reverent, and subtly different sequel.",positive,negative
What is the sentiment of the following sentence? Has all the scenic appeal of a cesspool.,negative,positive
What is the sentiment of the following sentence? Sleek and arty.,positive,negative
"What is the sentiment of the following sentence? Meyjes's movie, like Max Rothman's future, does not work.",negative,positive
What is the sentiment of the following sentence? It's a barely tolerable slog over well-trod ground.,negative,positive
"What is the sentiment of the following sentence? Vaguely interesting, but it's just too too much.",negative,positive
"What is the sentiment of the following sentence? Interminably bleak, to say nothing of boring.",negative,positive
"What is the sentiment of the following sentence? Loud, chaotic and largely unfunny.",negative,positive
"What is the sentiment of the following sentence? Inventive, fun, intoxicatingly sexy, violent, self-indulgent and maddening.",positive,negative
"What is the sentiment of the following sentence? Awesome work: ineffable, elusive, yet inexplicably powerful",positive,negative
"What is the sentiment of the following sentence? Sly, sophisticated and surprising.",positive,negative
"What is the sentiment of the following sentence? Demonstrates the unusual power of thoughtful, subjective filmmaking.",positive,negative
What is the sentiment of the following sentence? There is no denying the power of Polanski's film...,positive,negative
What is the sentiment of the following sentence? Nettelbeck ... has a pleasing way with a metaphor.,positive,negative
"What is the sentiment of the following sentence? Priggish, lethargically paced parable of renewal.",negative,positive
"What is the sentiment of the following sentence? It's got the brawn, but not the brains.",negative,positive
What is the sentiment of the following sentence? Pretty good little movie.,positive,negative
What is the sentiment of the following sentence? Shyamalan should stop trying to please his mom.,negative,positive
What is the sentiment of the following sentence? There is nothing redeeming about this movie.,negative,positive
"What is the sentiment of the following sentence? Forget the misleading title, what's with the unexplained baboon cameo?",negative,positive
What is the sentiment of the following sentence? A tasty masala.,positive,negative
What is the sentiment of the following sentence? A sensitive and astute first feature by Anne-Sophie Birot.,positive,negative
What is the sentiment of the following sentence? Press the delete key.,negative,positive
What is the sentiment of the following sentence? Neither revelatory nor truly edgy--merely crassly flamboyant and comedically labored.,negative,positive
What is the sentiment of the following sentence? It is refreshingly undogmatic about its characters.,positive,negative
"What is the sentiment of the following sentence? The entire cast is first-rate, especially Sorvino.",positive,negative
What is the sentiment of the following sentence? Get out your pooper-scoopers.,negative,positive
What is the sentiment of the following sentence? You can practically hear George Orwell turning over.,negative,positive
What is the sentiment of the following sentence? Make like the title and dodge this one.,negative,positive
"What is the sentiment of the following sentence? Kitschy, flashy, overlong soap opera.",negative,positive
